id_estudante,estado,cidade,tipo_escola,renda_familiar,nota_matematica,nota_linguagens,nota_ciencias,nota_humanas,nota_redacao,media_final
22,DF,Brasília,Pública,4139.9,831.59,653.57,672.13,659.05,770.94,717.45
23,AM,Parintins,Privada,3700.48,594.01,568.44,569.27,697.11,687.67,623.3
24,DF,Brasília,Pública,3826.79,778.68,588.6,684.31,602.65,716.81,674.21
25,BA,Salvador,Pública,8675.35,874.17,801.38,714.4,841.81,724.72,791.3
26,BA,Feira de Santana,Privada,3691.08,551.93,679.28,512.67,631.43,626.28,600.32
27,BA,Salvador,Pública,11749.89,556.88,499.31,537.48,581.1,561.19,547.19
28,MG,Belo Horizonte,Privada,9071.64,793.41,609.88,762.51,582.93,687.44,687.23
29,RJ,Nova Iguaçu,Privada,13354.71,752.95,784.08,620.12,774.79,655.17,717.42
30,PR,Curitiba,Pública,13927.72,589.49,612.41,567.78,662.83,714.78,629.45
31,PR,Curitiba,Privada,3958.56,678.44,614.42,697.91,661.14,585.02,647.39
32,BA,Vitória da Conquista,Pública,6475.43,605.14,708.93,870.08,837.7,824.37,769.24
33,BA,Salvador,Pública,6970.81,770.34,860.17,720.78,780.84,733.75,773.18
34,PR,Curitiba,Pública,12252.45,716.83,535.66,594.17,626.83,731.86,641.07
35,DF,Taguatinga,Pública,2569.68,449.03,539.14,496.84,618.58,497.0,520.12
36,PR,Londrina,Pública,5073.49,654.24,582.62,505.05,613.39,535.22,578.1
37,CE,Caucaia,Pública,12071.04,564.04,438.44,505.87,605.48,501.77,523.12
38,RS,Pelotas,Pública,3627.65,583.52,643.96,590.69,558.55,485.06,572.36
39,RS,Santa Maria,Pública,4264.58,787.54,661.23,661.62,631.84,616.16,671.68
40,AM,Parintins,Pública,4338.62,516.96,651.7,526.95,480.56,470.99,529.43
41,CE,Sobral,Privada,8579.78,508.59,553.2,604.72,495.02,458.55,524.02
42,AM,Parintins,Pública,4699.28,694.54,626.28,731.38,683.74,699.56,687.1
43,MG,Uberlândia,Pública,6587.91,513.23,405.92,587.82,446.76,461.71,483.09
44,DF,Taguatinga,Pública,14186.93,695.11,614.34,506.72,566.57,442.18,564.98
45,RS,Santa Maria,Pública,6988.87,704.68,641.49,693.3,643.07,679.19,672.35
46,DF,Ceilândia,Pública,6395.09,595.79,626.7,637.23,633.8,605.51,619.81
47,RS,Santa Maria,Pública,11609.46,624.84,502.76,529.99,571.1,514.46,548.63
48,PE,Olinda,Pública,11893.51,472.77,526.23,534.95,538.87,554.28,525.42
49,RJ,Niterói,Pública,4438.66,613.23,505.27,415.3,550.3,581.29,533.08
50,DF,Brasília,Privada,8976.31,758.81,770.56,717.91,658.52,673.7,715.9
51,DF,Brasília,Privada,8836.24,649.18,678.41,639.18,657.0,605.99,645.95
52,CE,Fortaleza,Pública,5943.07,630.39,701.58,739.56,624.41,584.85,656.16
53,AM,Parintins,Pública,12525.43,532.02,585.5,520.02,453.71,579.03,534.06
54,DF,Ceilândia,Pública,5576.83,546.02,500.72,568.86,515.39,628.36,551.87
55,BA,Salvador,Pública,3513.0,685.71,608.58,678.21,590.19,524.99,617.54
56,SP,São Paulo,Pública,6542.5,723.42,552.98,585.3,674.5,602.96,627.83
57,PE,Petrolina,Pública,4369.93,676.7,538.88,613.38,653.22,686.08,633.65
58,CE,Juazeiro do Norte,Privada,14667.82,613.8,613.49,577.72,581.4,514.33,580.14
59,SP,Santos,Pública,2593.17,453.93,593.34,520.97,558.58,541.79,533.72
60,SP,Santos,Privada,7583.75,615.44,653.84,651.84,709.4,745.29,675.16
61,BA,Salvador,Privada,2482.01,644.2,694.81,555.78,640.9,768.02,660.74
62,BA,Salvador,Pública,11309.27,469.32,452.89,392.75,385.83,426.67,425.49
63,SP,Sorocaba,Pública,9232.12,660.27,721.42,607.23,570.16,562.79,624.38
64,DF,Ceilândia,Privada,3609.03,522.24,479.75,518.85,573.8,531.71,525.27
65,DF,Ceilândia,Privada,13880.93,549.02,592.42,497.35,550.24,436.45,525.1
66,PE,Caruaru,Pública,4050.73,575.27,441.67,612.65,515.16,545.64,538.08
67,MG,Contagem,Pública,7079.66,595.13,504.31,572.86,372.19,430.07,494.91
68,PE,Recife,Privada,5483.21,616.62,679.13,573.95,603.75,667.89,628.27
69,PE,Recife,Privada,6539.29,347.82,380.96,420.89,445.51,401.6,399.36
70,SP,Campinas,Pública,2660.39,552.63,440.95,578.14,501.97,523.95,519.53
71,BA,Salvador,Pública,2123.57,555.12,445.43,571.0,550.07,361.06,496.54
72,AM,Itacoatiara,Pública,12653.08,654.73,677.2,492.07,684.25,447.26,591.1
73,RJ,Nova Iguaçu,Privada,12932.66,743.21,709.18,614.33,650.48,528.41,649.12
74,CE,Caucaia,Pública,7677.65,653.94,643.29,479.07,573.13,526.12,575.11
75,PR,Londrina,Privada,6633.01,494.51,744.61,647.84,545.88,734.96,633.56
76,MG,Juiz de Fora,Privada,13213.5,851.37,775.7,720.55,768.38,750.43,773.29
77,CE,Juazeiro do Norte,Pública,10636.41,435.78,545.2,458.85,472.36,617.12,505.86
78,CE,Fortaleza,Pública,4133.74,528.84,713.66,670.4,579.21,456.86,589.79
79,RJ,Duque de Caxias,Pública,5052.42,688.38,629.56,723.26,671.74,746.92,691.97
80,MG,Uberlândia,Pública,9454.78,606.83,472.47,486.69,470.76,446.86,496.72
81,SP,Sorocaba,Privada,10422.07,643.62,660.51,661.45,724.4,733.47,684.69
82,PR,Ponta Grossa,Pública,6215.37,539.34,645.13,677.16,570.18,548.37,596.04
83,SP,Sorocaba,Privada,13621.68,645.87,656.08,689.96,648.18,774.44,682.9
84,MG,Belo Horizonte,Privada,9978.04,654.25,602.97,598.73,716.5,646.87,643.86
85,AM,Parintins,Pública,13771.52,681.17,749.89,520.99,649.37,636.56,647.6
86,RJ,Duque de Caxias,Privada,2798.75,586.18,761.72,584.69,623.7,538.65,618.99
87,PR,Curitiba,Pública,2554.96,600.55,447.03,572.85,452.82,591.04,532.86
88,CE,Fortaleza,Pública,14193.0,676.51,504.11,493.72,524.23,444.84,528.68
89,RJ,Niterói,Pública,1328.41,641.45,581.86,624.66,547.15,772.49,633.52
90,AM,Parintins,Pública,11117.71,659.95,581.66,585.59,672.09,800.57,659.97
91,RS,Santa Maria,Pública,4152.8,612.84,523.97,399.43,494.62,475.97,501.37
92,RJ,Duque de Caxias,Pública,3811.9,326.11,373.61,632.37,472.3,414.26,443.73
93,AM,Manaus,Pública,12345.35,777.25,574.9,585.01,776.76,592.47,661.28
94,AM,Parintins,Privada,2360.95,688.23,582.83,711.3,664.78,715.33,672.49
95,RJ,Rio de Janeiro,Pública,11847.84,755.97,704.74,678.01,654.28,691.01,696.8
96,AM,Parintins,Pública,14489.17,394.15,450.81,413.31,384.03,467.51,421.96
97,RJ,Nova Iguaçu,Pública,1732.69,527.62,527.06,487.58,741.55,502.24,557.21
98,DF,Taguatinga,Pública,10765.27,552.18,499.77,574.97,545.58,531.67,540.84
99,PE,Petrolina,Pública,11160.5,620.9,659.79,712.14,593.18,584.89,634.18
100,RJ,Rio de Janeiro,Pública,11373.16,648.94,621.03,686.04,586.62,568.47,622.22
101,PR,Curitiba,Privada,9325.82,643.77,528.58,513.64,634.87,643.35,592.84
102,PE,Recife,Privada,8952.22,733.64,583.0,648.85,648.29,785.5,679.85
103,BA,Salvador,Pública,10778.32,554.26,540.76,592.62,483.28,501.47,534.48
104,SP,São Paulo,Privada,3854.89,689.64,631.39,539.05,628.72,636.82,625.13
105,SP,Campinas,Pública,9573.3,550.81,506.13,577.0,557.31,695.14,577.28
106,RJ,Nova Iguaçu,Pública,4822.1,502.07,617.62,578.22,554.33,554.43,561.33
107,BA,Feira de Santana,Privada,11651.08,637.49,653.2,593.85,631.79,535.99,610.47
108,PE,Recife,Pública,11336.99,558.17,563.2,530.58,610.89,468.68,546.3
109,BA,Salvador,Pública,14520.04,764.19,643.1,641.81,616.21,631.92,659.45
110,PR,Ponta Grossa,Pública,6419.89,594.93,660.34,652.88,671.89,682.21,652.45
111,PE,Caruaru,Privada,12429.07,682.85,735.09,792.06,713.73,599.31,704.61
112,MG,Contagem,Pública,8805.04,475.59,384.13,344.55,428.85,672.62,461.15
113,PE,Olinda,Pública,7458.68,433.15,489.13,523.68,488.42,508.16,488.51
114,PE,Caruaru,Pública,13072.35,626.7,593.71,687.09,698.29,513.85,623.93
115,CE,Caucaia,Pública,7553.93,649.16,661.03,581.37,602.19,530.02,604.75
116,MG,Belo Horizonte,Pública,7016.17,553.61,475.53,547.64,467.66,546.63,518.22
117,DF,Brasília,Privada,9991.74,683.71,770.25,597.86,576.57,723.46,670.37
118,DF,Ceilândia,Pública,5767.46,548.87,491.77,421.75,475.58,521.84,491.96
119,PE,Olinda,Pública,12571.22,680.14,605.0,630.94,626.57,626.4,633.81
120,MG,Uberlândia,Pública,11679.42,720.11,657.94,625.45,750.85,564.61,663.79
121,AM,Manaus,Pública,13244.78,601.49,575.26,637.23,671.84,480.53,593.27
122,CE,Fortaleza,Pública,10404.35,444.72,494.98,477.45,418.06,415.02,450.04
123,CE,Caucaia,Pública,14249.25,586.5,597.04,526.74,630.92,720.51,612.34
124,DF,Brasília,Privada,1540.95,603.96,572.51,513.86,606.18,612.02,581.71
125,MG,Juiz de Fora,Pública,8089.61,620.73,667.85,493.71,668.7,584.25,607.05
126,PR,Maringá,Pública,14922.26,655.26,632.68,506.7,594.17,547.04,587.17
127,BA,Ilhéus,Pública,2770.86,506.24,616.46,599.79,611.24,494.47,565.64
128,DF,Ceilândia,Pública,11821.65,662.02,549.33,533.61,699.82,658.06,620.57
129,CE,Fortaleza,Pública,8965.67,542.0,539.99,654.46,618.32,689.84,608.92
130,AM,Parintins,Pública,8270.04,375.2,309.34,408.1,259.63,202.55,310.96
131,BA,Salvador,Pública,1759.35,711.61,518.71,552.73,640.8,658.49,616.47
132,PE,Olinda,Privada,10522.49,820.56,799.24,744.62,722.65,767.64,770.94
133,SP,Santos,Privada,8118.45,810.38,800.86,757.73,740.38,902.31,802.33
134,PE,Caruaru,Pública,6025.87,649.92,578.87,815.99,636.88,703.48,677.03
135,AM,Parintins,Privada,11124.55,728.6,733.61,832.25,787.5,713.08,759.01
136,PR,Londrina,Pública,5791.97,754.98,661.14,753.99,701.4,882.8,750.86
137,RJ,Duque de Caxias,Pública,12175.56,651.11,565.92,487.24,515.66,602.98,564.58
138,PE,Caruaru,Pública,8854.87,558.99,474.47,529.95,673.7,524.14,552.25
139,PR,Maringá,Pública,4344.49,555.71,485.74,492.69,602.05,551.69,537.57
140,CE,Caucaia,Privada,4855.19,689.36,761.7,665.15,770.07,673.68,711.99
141,RJ,Nova Iguaçu,Pública,10875.47,542.27,588.78,622.41,526.52,492.85,554.56
142,PE,Olinda,Pública,3653.92,790.82,636.63,670.15,713.96,601.26,682.56
143,DF,Brasília,Pública,6453.87,518.66,515.05,626.98,615.06,627.57,580.66
144,RJ,Duque de Caxias,Pública,8146.51,821.88,616.75,645.87,748.87,768.34,720.34
145,SP,São Paulo,Pública,5118.57,847.26,766.86,672.72,693.46,727.9,741.64
146,RS,Pelotas,Pública,5100.11,499.36,539.95,494.05,459.89,406.93,480.04
147,DF,Taguatinga,Privada,8803.38,599.41,583.39,579.9,568.13,551.78,576.52
148,CE,Juazeiro do Norte,Pública,5089.74,692.45,599.83,562.06,681.33,699.59,647.05
149,CE,Caucaia,Pública,2840.1,591.93,831.3,632.5,715.28,675.51,689.31
150,RJ,Nova Iguaçu,Pública,2539.81,524.69,518.95,626.29,467.0,336.53,494.69
151,MG,Juiz de Fora,Privada,11040.02,827.66,624.63,772.94,721.4,745.83,738.49
152,PR,Ponta Grossa,Privada,3855.05,715.24,570.7,550.36,642.16,675.28,630.75
153,BA,Vitória da Conquista,Privada,5996.31,613.63,527.16,540.98,455.83,545.91,536.7
154,BA,Salvador,Pública,2172.88,588.86,413.25,462.62,390.93,389.89,449.11
155,SP,São Paulo,Pública,10933.0,571.22,657.99,610.02,675.97,604.75,623.99
156,PR,Maringá,Pública,8003.87,525.09,496.5,509.23,494.41,538.89,512.82
157,PR,Maringá,Privada,11099.6,777.23,607.1,642.61,557.41,610.9,639.05
158,MG,Contagem,Pública,10466.32,542.66,486.56,551.82,501.48,562.5,529.0
159,PR,Ponta Grossa,Privada,11248.89,785.62,709.69,835.16,702.73,739.47,754.53
160,MG,Contagem,Privada,5661.04,535.01,511.16,550.73,560.52,585.54,548.59
161,RS,Pelotas,Privada,10809.59,686.5,603.63,677.42,725.69,672.9,673.23
162,DF,Ceilândia,Pública,13519.8,627.49,552.62,557.13,563.41,533.54,566.84
163,CE,Juazeiro do Norte,Privada,3838.61,662.21,684.49,653.15,615.28,810.48,685.12
164,RS,Caxias do Sul,Pública,6668.88,773.06,715.27,736.59,656.72,723.63,721.06
165,CE,Sobral,Pública,11533.94,583.58,585.2,575.86,485.37,578.46,561.7
166,SP,Campinas,Pública,12693.99,908.48,756.08,740.11,695.93,729.3,765.98
167,BA,Salvador,Pública,8865.06,509.02,432.46,518.89,432.99,260.67,430.81
168,AM,Parintins,Pública,12285.16,622.46,521.1,605.08,598.14,574.59,584.27
169,RS,Caxias do Sul,Pública,9869.91,624.88,680.59,633.49,671.49,742.01,670.49
170,RS,Porto Alegre,Pública,4144.4,660.28,575.05,587.86,581.31,523.98,585.7
171,SP,São Paulo,Pública,3067.98,638.28,440.62,511.3,415.37,384.2,477.95
172,PE,Olinda,Pública,2696.68,457.83,372.64,383.64,489.52,362.91,413.31
173,RS,Caxias do Sul,Pública,9260.57,565.2,606.37,524.37,711.83,725.42,626.64
174,AM,Manaus,Pública,2927.9,669.35,693.6,721.18,767.32,772.79,724.85
175,SP,Sorocaba,Pública,6699.03,573.14,619.32,646.83,662.48,651.54,630.66
176,RS,Porto Alegre,Pública,5692.31,778.14,601.04,743.65,660.07,681.6,692.9
177,MG,Contagem,Pública,13456.94,709.41,587.18,763.08,684.81,644.5,677.79
178,PE,Recife,Pública,8429.07,585.93,527.52,583.63,569.95,536.12,560.63
179,AM,Parintins,Pública,12491.72,707.18,753.87,810.69,680.35,817.87,753.99
180,PR,Curitiba,Pública,1755.53,601.31,724.43,728.68,665.21,772.39,698.4
181,AM,Manaus,Privada,11820.1,898.4,772.02,661.3,620.35,643.63,719.14
182,PE,Olinda,Pública,2834.3,534.0,705.32,628.93,657.92,456.47,596.53
183,PR,Ponta Grossa,Pública,5690.69,513.12,530.97,488.48,540.5,596.79,533.97
184,AM,Parintins,Pública,3999.89,607.71,685.83,651.69,569.44,674.1,637.75
185,PR,Londrina,Pública,5489.73,726.1,566.85,649.73,727.62,700.1,674.08
186,DF,Ceilândia,Pública,1833.54,553.85,644.3,679.39,674.85,600.69,630.62
187,SP,Campinas,Privada,14461.5,968.43,1000.0,966.94,1000.0,803.48,947.77
188,PR,Ponta Grossa,Pública,5901.49,485.71,549.89,704.86,645.66,414.66,560.16
189,RS,Pelotas,Pública,1449.16,633.74,618.33,547.86,605.22,617.42,604.51
190,RS,Pelotas,Pública,8891.01,392.58,489.27,476.57,613.87,414.31,477.32
191,CE,Sobral,Pública,12088.65,615.71,540.91,679.59,574.88,592.76,600.77
192,SP,São Paulo,Privada,10288.66,585.15,631.15,721.39,685.39,625.32,649.68
193,PE,Recife,Pública,10267.92,504.92,607.56,535.05,598.98,538.48,557.0
194,BA,Vitória da Conquista,Pública,12346.83,467.21,554.55,551.65,554.73,572.84,540.19
195,AM,Parintins,Privada,4596.01,405.66,517.51,604.93,672.55,653.03,570.74
196,SP,São Paulo,Pública,6155.81,449.64,434.04,613.84,557.59,463.56,503.73
197,RJ,Rio de Janeiro,Pública,13598.08,535.72,523.88,631.04,505.0,525.51,544.23
198,SP,Campinas,Privada,5265.68,759.39,750.09,700.4,793.12,784.88,757.58
199,RS,Santa Maria,Pública,8475.99,607.92,493.15,477.79,500.72,433.1,502.53
200,RJ,Duque de Caxias,Pública,1879.46,459.09,565.19,501.66,448.84,414.92,477.94
201,CE,Sobral,Pública,8653.14,620.34,488.38,640.13,552.0,617.78,583.73
202,RJ,Rio de Janeiro,Pública,6196.0,584.88,592.94,631.65,665.66,581.25,611.28
203,BA,Salvador,Pública,3460.96,539.96,558.76,513.42,565.36,559.34,547.37
204,PE,Petrolina,Pública,6676.1,531.71,668.12,621.21,540.52,608.34,593.98
205,MG,Uberlândia,Pública,4611.38,672.59,597.2,737.5,544.49,767.47,663.85
206,CE,Caucaia,Pública,2723.95,692.95,593.2,768.87,625.92,709.42,678.07
207,DF,Brasília,Pública,9365.6,510.88,527.0,603.22,561.82,463.51,533.29
208,DF,Brasília,Pública,4780.26,570.27,680.98,829.33,657.08,732.95,694.12
209,SP,Sorocaba,Privada,3777.01,726.08,561.21,631.94,621.84,629.84,634.18
210,MG,Contagem,Privada,1850.3,720.31,585.67,714.46,695.86,632.82,669.82
211,PE,Recife,Pública,4324.88,551.89,495.72,539.16,488.63,419.39,498.96
212,PE,Petrolina,Pública,2200.21,743.66,607.02,580.75,580.08,682.68,638.84
213,DF,Ceilândia,Pública,5698.54,656.13,666.1,629.46,665.46,622.05,647.84
214,BA,Vitória da Conquista,Pública,3737.52,527.42,492.29,455.74,478.41,639.51,518.67
215,RJ,Rio de Janeiro,Privada,10001.17,649.29,645.19,652.62,667.59,660.69,655.08
216,PR,Londrina,Pública,10133.77,597.73,461.08,519.56,603.16,637.14,563.74
217,BA,Salvador,Pública,12152.93,604.31,631.24,674.65,655.36,407.01,594.52
218,PE,Petrolina,Pública,9135.47,689.19,545.1,653.38,534.48,583.32,601.09
219,RJ,Niterói,Pública,4187.73,685.44,729.26,638.66,753.36,635.46,688.43
220,CE,Caucaia,Pública,7752.92,544.98,622.37,619.86,579.15,602.57,593.78
221,PR,Ponta Grossa,Pública,7782.51,587.98,615.15,496.38,563.44,606.17,573.82
222,RS,Pelotas,Pública,7293.96,653.27,544.86,644.52,637.96,642.22,624.57
223,PE,Recife,Privada,7067.41,592.56,471.29,456.72,506.98,483.45,502.2
224,BA,Vitória da Conquista,Privada,2035.16,694.69,754.05,610.82,557.63,597.99,643.04
225,DF,Brasília,Privada,12352.12,543.36,564.96,572.28,640.22,586.64,581.49
226,DF,Taguatinga,Privada,8104.69,751.22,675.65,786.24,753.58,672.44,727.83
227,MG,Uberlândia,Pública,5373.77,546.21,446.87,554.38,557.36,446.22,510.21
228,RJ,Rio de Janeiro,Pública,11447.19,635.95,498.14,458.57,549.63,642.96,557.05
229,RJ,Duque de Caxias,Pública,10701.5,544.72,428.29,605.14,465.82,420.05,492.81
230,BA,Vitória da Conquista,Pública,2654.44,647.28,478.85,603.88,585.53,502.13,563.53
231,SP,São Paulo,Privada,3043.37,537.89,603.23,467.94,506.21,428.89,508.83
232,BA,Salvador,Pública,4355.53,596.98,439.29,513.69,467.49,428.0,489.09
233,RJ,Rio de Janeiro,Pública,7570.66,699.45,730.89,644.35,705.55,434.68,642.98
234,PR,Londrina,Pública,4051.05,796.63,688.58,763.17,648.01,814.99,742.28
235,MG,Uberlândia,Pública,8798.74,556.34,586.08,668.22,629.82,513.1,590.71
236,CE,Caucaia,Pública,2226.6,513.48,652.4,588.71,629.91,648.14,606.53
237,RJ,Niterói,Pública,9320.11,445.06,542.31,413.76,470.39,577.42,489.79
238,AM,Manaus,Privada,4996.7,800.48,816.26,728.06,815.52,611.74,754.41
239,PE,Caruaru,Pública,13023.56,527.73,629.05,573.9,424.72,562.75,543.63
240,RJ,Rio de Janeiro,Pública,1365.54,607.82,516.29,532.47,538.57,484.86,536.0
241,RJ,Niterói,Pública,5200.68,713.95,767.39,600.04,650.65,568.51,660.11
242,RJ,Nova Iguaçu,Pública,11165.41,554.49,495.69,421.15,510.81,436.61,483.75
243,MG,Belo Horizonte,Pública,2748.41,495.69,557.77,436.36,545.48,552.32,517.52
244,BA,Salvador,Privada,1216.86,672.22,704.17,639.77,776.26,761.1,710.7
245,PE,Recife,Pública,8849.78,612.55,472.69,511.99,567.5,647.23,562.39
246,SP,São Paulo,Pública,7499.06,621.56,613.75,501.8,643.64,502.74,576.7
247,PR,Londrina,Pública,6710.84,543.81,538.78,643.21,616.41,560.94,580.63
248,AM,Manaus,Privada,1778.76,544.85,647.29,623.39,581.79,521.17,583.7
249,DF,Brasília,Pública,9202.01,604.34,534.26,662.51,518.98,573.68,578.75
250,PR,Curitiba,Pública,5719.22,752.7,506.3,704.17,609.78,679.49,650.49
251,RJ,Niterói,Pública,4181.98,727.91,570.28,488.35,471.6,636.04,578.84
252,AM,Parintins,Privada,6089.39,572.27,641.55,656.84,630.81,611.31,622.55
253,PR,Londrina,Pública,4506.07,672.75,538.09,486.28,539.94,572.19,561.85
254,RS,Caxias do Sul,Privada,9102.85,628.03,717.98,720.03,668.51,655.69,678.05
255,RJ,Rio de Janeiro,Pública,10541.98,689.32,642.35,688.39,616.56,706.21,668.57
256,PE,Petrolina,Pública,10416.0,671.44,631.89,573.94,666.88,632.08,635.25
257,CE,Fortaleza,Privada,2785.06,637.82,693.06,705.56,563.01,693.01,658.49
258,RJ,Nova Iguaçu,Privada,1864.82,709.75,668.31,760.72,610.92,821.48,714.24
259,SP,Campinas,Privada,6950.82,704.7,719.01,796.26,806.23,736.48,752.54
260,CE,Caucaia,Pública,9592.31,683.62,581.56,594.55,596.21,641.81,619.55
261,RS,Caxias do Sul,Pública,12190.79,505.98,619.44,730.18,546.19,683.0,616.96
262,AM,Parintins,Pública,3353.39,633.57,580.13,554.18,643.85,571.51,596.65
263,DF,Brasília,Privada,2221.91,620.49,581.97,637.82,591.2,668.45,619.99
264,PE,Olinda,Pública,9213.78,464.52,356.76,581.89,497.59,573.92,494.94
265,DF,Brasília,Privada,12307.7,637.22,651.06,636.45,622.37,622.26,633.87
266,CE,Fortaleza,Pública,9520.71,582.64,664.43,501.53,654.31,640.86,608.75
267,MG,Belo Horizonte,Privada,13021.51,734.74,727.16,699.02,738.5,810.62,742.01
268,CE,Juazeiro do Norte,Pública,14556.15,920.3,717.34,777.47,835.27,791.99,808.47
269,BA,Feira de Santana,Pública,825.53,541.26,609.39,672.08,590.49,688.26,620.3
270,DF,Brasília,Pública,2278.37,656.04,684.82,631.15,703.34,537.42,642.55
271,PE,Petrolina,Pública,3777.52,384.2,530.03,441.07,427.87,372.43,431.12
272,MG,Contagem,Pública,6177.72,713.11,672.39,693.53,571.41,614.4,652.97
273,RJ,Rio de Janeiro,Pública,5325.78,614.8,572.47,481.2,618.93,402.66,538.01
274,RJ,Nova Iguaçu,Pública,9513.76,739.23,577.93,619.68,649.61,569.29,631.15
275,RS,Caxias do Sul,Pública,8668.4,564.15,608.84,622.28,654.46,556.76,601.3
276,CE,Caucaia,Pública,854.18,708.23,587.83,633.85,666.04,691.56,657.5
277,RJ,Duque de Caxias,Privada,5178.62,796.15,794.6,775.54,776.95,874.65,803.58
278,PE,Olinda,Pública,4538.8,564.3,636.88,585.09,532.54,516.5,567.06
279,PE,Petrolina,Privada,9174.12,439.23,518.93,532.02,436.25,545.36,494.36
280,RJ,Duque de Caxias,Privada,10943.14,571.41,498.73,454.21,602.8,622.0,549.83
281,MG,Uberlândia,Privada,12280.14,541.63,795.28,627.97,639.13,705.7,661.94
282,RJ,Rio de Janeiro,Pública,6442.44,777.17,841.2,855.67,706.67,710.4,778.22
283,PR,Curitiba,Pública,2904.44,549.21,390.08,606.53,499.91,581.65,525.47
284,AM,Parintins,Privada,4550.74,600.71,692.88,722.55,603.04,587.59,641.35
285,PR,Curitiba,Pública,13281.2,604.53,583.96,653.03,539.47,704.16,617.03
286,BA,Vitória da Conquista,Privada,12986.93,494.64,599.53,514.06,457.62,491.88,511.54
287,RJ,Niterói,Pública,13770.75,441.25,498.98,476.4,505.25,499.05,484.19
288,AM,Parintins,Pública,12888.39,663.98,578.62,633.15,480.67,571.79,585.64
289,PE,Olinda,Pública,12493.79,698.09,665.14,749.93,698.47,649.39,692.2
290,CE,Juazeiro do Norte,Pública,12694.68,612.64,549.31,592.57,575.14,651.34,596.2
291,RS,Caxias do Sul,Pública,10423.27,498.9,495.9,510.41,397.14,654.31,511.33
292,MG,Belo Horizonte,Pública,9438.48,620.64,518.09,587.91,725.25,659.38,622.25
293,RS,Santa Maria,Pública,8193.06,546.0,525.09,698.18,528.27,580.06,575.52
294,DF,Ceilândia,Pública,10518.67,511.54,554.41,489.26,552.5,410.18,503.58
295,BA,Feira de Santana,Pública,11669.74,522.64,334.5,358.77,388.53,385.53,397.99
296,CE,Juazeiro do Norte,Pública,6743.63,607.16,504.76,446.1,468.42,476.23,500.53
297,AM,Itacoatiara,Privada,13672.68,548.26,638.83,460.7,583.11,603.52,566.88
298,MG,Juiz de Fora,Privada,8738.25,784.65,744.98,802.04,889.92,642.66,772.85
299,PE,Caruaru,Pública,7385.4,785.9,708.19,600.8,643.0,631.44,673.86
300,RJ,Duque de Caxias,Pública,6666.12,761.09,761.21,503.62,744.75,781.41,710.42
301,MG,Juiz de Fora,Privada,3361.07,553.09,501.11,529.87,473.15,524.41,516.32
302,MG,Uberlândia,Pública,11642.68,779.95,566.19,790.12,682.65,707.9,705.36
303,RS,Pelotas,Privada,13466.49,752.06,622.17,639.42,730.99,606.37,670.2
304,AM,Itacoatiara,Pública,1727.08,710.18,613.38,555.88,625.93,529.95,607.06
305,MG,Juiz de Fora,Privada,7760.54,676.45,693.83,677.54,714.94,903.69,733.29
306,RS,Porto Alegre,Pública,3199.58,602.47,555.34,487.43,505.47,517.29,533.6
307,SP,São Paulo,Pública,1080.33,504.29,504.23,547.72,617.77,664.14,567.63
308,SP,Santos,Pública,2233.91,483.91,377.16,557.09,413.13,481.63,462.58
309,BA,Salvador,Privada,7867.89,603.45,501.07,478.14,528.03,353.31,492.8
